record_id,timestamp,building_id,building_type,building_area_m2,occupancy_level,temperature_c,humidity_percent,weather_condition,energy_source,energy_consumed_kwh,energy_generated_kwh,energy_cost_naira,optimization_score_percent
1,2025-05-15 07:00:00,B-1294,Industrial,1903.97,High,34.2,73.9,Sunny,Generator,91.81,0.0,4245.36,66.24
2,2025-05-23 08:00:00,B-4881,Educational,337.51,Medium,32.7,66.1,Sunny,Generator,107.67,0.0,4395.45,98.8
3,2025-01-25 18:00:00,B-2152,Educational,4170.59,Low,21.6,40.9,Rainy,Solar,31.59,30.42,1926.68,77.28
4,2025-01-13 15:00:00,B-2720,Residential,1491.58,Low,28.4,38.4,Cloudy,Generator,47.36,0.0,2588.44,78.24
5,2025-01-07 04:00:00,B-5078,Educational,3936.62,High,21.4,60.9,Sunny,Mixed,90.9,4.65,5845.03,66.82
6,2025-05-20 14:00:00,B-3049,Educational,372.01,Low,34.1,87.9,Sunny,Grid,122.22,0.0,6378.0,63.91
7,2025-06-28 17:00:00,B-7427,Educational,3436.95,Low,25.5,37.3,Windy,Solar,76.8,3.44,5865.43,70.35
8,2025-04-12 16:00:00,B-4453,Industrial,3329.49,Medium,23.3,61.2,Cloudy,Mixed,84.27,18.49,6639.08,91.01
9,2025-06-17 10:00:00,B-5911,Commercial,4700.52,Medium,33.2,65.9,Rainy,Solar,138.67,8.85,6633.88,61.81
10,2025-01-21 03:00:00,B-9219,Commercial,1660.39,Medium,24.6,46.3,Rainy,Mixed,125.17,35.68,6413.38,81.71
11,2025-02-05 05:00:00,B-8767,Commercial,747.57,High,31.6,34.5,Sunny,Generator,148.1,0.0,10498.78,67.95
12,2025-06-28 10:00:00,B-1348,Industrial,77.33,High,31.9,72.4,Windy,Generator,110.71,0.0,7843.89,62.96
13,2025-06-04 19:00:00,B-9956,Commercial,1824.41,High,20.0,81.8,Cloudy,Generator,95.38,0.0,5077.64,62.54
14,2025-04-17 18:00:00,B-5857,Residential,1589.36,Medium,23.5,73.8,Rainy,Solar,97.45,88.72,5738.69,64.78
15,2025-06-26 00:00:00,B-9386,Residential,3580.56,Medium,30.9,63.7,Windy,Solar,116.79,49.38,7113.6,77.1
